model,family,condition,severity,n,n_rejected,mean_max_prob,top1,balanced_acc,confident_wrong@0.5,confident_wrong@0.7,confident_wrong@0.9,separability_auroc
thaichar72_r18_64_gen_v3labels,B,half_50,0.0,297,3,0.6647686958312988,,,0.7205387205387206,0.5454545454545454,0.15488215488215487,0.8684781418521256
thaichar72_resnet18_64,B,half_50,0.0,297,3,0.6318502426147461,,,0.6801346801346801,0.4882154882154882,0.1111111111111111,0.9112192384550108
thaichar72_resnet18_64_v1labels,B,half_50,0.0,297,3,0.6559221148490906,,,0.7171717171717171,0.5117845117845118,0.15488215488215487,0.8882045386110426
thaichar72_mnv3small_64_small,B,half_50,0.0,297,3,0.6102261543273926,,,0.6632996632996633,0.42424242424242425,0.10774410774410774,0.9047931893460349
thaichar72_r18_64_gen,B,half_70,0.0,299,1,0.6818475127220154,,,0.7525083612040134,0.5819397993311036,0.16387959866220736,0.8785993963618566
thaichar72_r18_64_gen_v3labels,B,half_70,0.0,299,1,0.6761596202850342,,,0.7224080267558528,0.5585284280936454,0.11371237458193979,0.8985167360034805
thaichar72_resnet18_64,B,half_70,0.0,299,1,0.6470381617546082,,,0.725752508361204,0.48494983277591974,0.09364548494983277,0.9117519101612421
thaichar72_resnet18_64_v1labels,B,half_70,0.0,299,1,0.6699071526527405,,,0.7324414715719063,0.5551839464882943,0.14715719063545152,0.8853087527530794
thaichar72_mnv3small_64_small,B,half_70,0.0,299,1,0.6608585715293884,,,0.7190635451505016,0.5384615384615384,0.12374581939799331,0.8835685346820024
thaichar72_r18_64_gen,B,strokes,0.0,300,0,0.25225913524627686,,,0.13666666666666666,0.04,0.0033333333333333335,0.9973915989159892
thaichar72_r18_64_gen_v3labels,B,strokes,0.0,300,0,0.26818665862083435,,,0.14333333333333334,0.05,0.0033333333333333335,0.9951016260162602
thaichar72_resnet18_64,B,strokes,0.0,300,0,0.3237583041191101,,,0.23666666666666666,0.08666666666666667,0.0,0.9961653116531165
thaichar72_resnet18_64_v1labels,B,strokes,0.0,300,0,0.34094542264938354,,,0.20333333333333334,0.08666666666666667,0.0,0.9963414634146341
thaichar72_mnv3small_64_small,B,strokes,0.0,300,0,0.3492352366447449,,,0.24,0.14,0.02,0.9823644986449864
thaichar72_r18_64_gen,B,blobs,0.0,300,0,0.4835418164730072,,,0.44333333333333336,0.31666666666666665,0.03,0.9663346883468835
thaichar72_r18_64_gen_v3labels,B,blobs,0.0,300,0,0.4945627450942993,,,0.44333333333333336,0.3333333333333333,0.08666666666666667,0.9253184281842819
thaichar72_resnet18_64,B,blobs,0.0,300,0,0.49107858538627625,,,0.46,0.31,0.013333333333333334,0.9752405149051491
thaichar72_resnet18_64_v1labels,B,blobs,0.0,300,0,0.48252928256988525,,,0.43666666666666665,0.2633333333333333,0.05,0.9573238482384824
thaichar72_mnv3small_64_small,B,blobs,0.0,300,0,0.5473287105560303,,,0.5266666666666666,0.35333333333333333,0.11666666666666667,0.8888753387533875
thaichar72_r18_64_gen,B,latin_digits,0.0,297,3,0.4733368456363678,,,0.45454545454545453,0.265993265993266,0.06734006734006734,0.9428020037776136
thaichar72_r18_64_gen_v3labels,B,latin_digits,0.0,297,3,0.5113590955734253,,,0.4781144781144781,0.31986531986531985,0.07744107744107744,0.9295803564096247
thaichar72_resnet18_64,B,latin_digits,0.0,297,3,0.47973930835723877,,,0.4175084175084175,0.21212121212121213,0.04377104377104377,0.962415482740686
thaichar72_resnet18_64_v1labels,B,latin_digits,0.0,297,3,0.5310131311416626,,,0.4882154882154882,0.2760942760942761,0.04377104377104377,0.9621417426295475
thaichar72_mnv3small_64_small,B,latin_digits,0.0,297,3,0.5323473811149597,,,0.5286195286195287,0.3400673400673401,0.04377104377104377,0.947325559114177
thaichar72_r18_64_gen,B,near_empty,0.0,300,0,0.3829217553138733,,,0.34,0.013333333333333334,0.0,0.9984078590785908
thaichar72_r18_64_gen_v3labels,B,near_empty,0.0,300,0,0.4545157849788666,,,0.33666666666666667,0.30666666666666664,0.0,0.9983875338753387
thaichar72_resnet18_64,B,near_empty,0.0,300,0,0.48316946625709534,,,0.3466666666666667,0.32666666666666666,0.0033333333333333335,0.973360433604336
thaichar72_resnet18_64_v1labels,B,near_empty,0.0,300,0,0.6518152356147766,,,0.8733333333333333,0.41,0.01,0.9836246612466125
thaichar72_mnv3small_64_small,B,near_empty,0.0,300,0,0.4537787437438965,,,0.33,0.30333333333333334,0.0,0.9744376693766937
thaichar72_r18_64_gen,C,rot180,0.0,492,1,0.42733001708984375,,,,,,
thaichar72_r18_64_gen_v3labels,C,rot180,0.0,492,1,0.45066919922828674,,,,,,
thaichar72_resnet18_64,C,rot180,0.0,492,1,0.43998804688453674,,,,,,
thaichar72_resnet18_64_v1labels,C,rot180,0.0,492,1,0.47869864106178284,,,,,,
thaichar72_mnv3small_64_small,C,rot180,0.0,492,1,0.487966388463974,,,,,,
thaichar72_r18_64_gen,C,mirror_h,0.0,492,1,0.45490723848342896,,,,,,
thaichar72_r18_64_gen_v3labels,C,mirror_h,0.0,492,1,0.4860524833202362,,,,,,
thaichar72_resnet18_64,C,mirror_h,0.0,492,1,0.5043730735778809,,,,,,
thaichar72_resnet18_64_v1labels,C,mirror_h,0.0,492,1,0.5333536267280579,,,,,,
thaichar72_mnv3small_64_small,C,mirror_h,0.0,492,1,0.5439464449882507,,,,,,
thaichar72_r18_64_gen,C,mirror_v,0.0,492,1,0.5692631602287292,,,,,,
thaichar72_r18_64_gen_v3labels,C,mirror_v,0.0,492,1,0.5854313373565674,,,,,,
thaichar72_resnet18_64,C,mirror_v,0.0,492,1,0.5420893430709839,,,,,,
thaichar72_resnet18_64_v1labels,C,mirror_v,0.0,492,1,0.5973484516143799,,,,,,
thaichar72_mnv3small_64_small,C,mirror_v,0.0,492,1,0.6024966835975647,,,,,,
thaichar72_r18_64_gen,C,rot90_cw,0.0,492,1,0.42855384945869446,,,,,,
thaichar72_r18_64_gen_v3labels,C,rot90_cw,0.0,492,1,0.44120949506759644,,,,,,
thaichar72_resnet18_64,C,rot90_cw,0.0,492,1,0.3662876486778259,,,,,,
thaichar72_resnet18_64_v1labels,C,rot90_cw,0.0,492,1,0.436603307723999,,,,,,
thaichar72_mnv3small_64_small,C,rot90_cw,0.0,492,1,0.4649157226085663,,,,,,
